"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D4WST0_PEA","A0A9D4WST0",0.0100336788264412,0.101474743469698,0.52238214864576,0.395,0.243,0.73,FALSE,FALSE,FALSE,FALSE,3.05,1.69,-0.549,-1.6,1.44,0.0869,-0.462
"A0A9D4WST6_PEA","A0A9D4WSD7",0.00432583085815099,0.0749902520277809,0.696109569216697,0.297,0.195,0.842,FALSE,FALSE,FALSE,FALSE,3.87,2.03,0.36,-2.26,1.61,-0.233,0.128
"A0A9D4WST7_PEA","A0A9D4WST7",0.0673858206608441,0.0890137446912901,0.606510732555294,0.651,0.22,0.786,FALSE,FALSE,FALSE,FALSE,1.98,1.81,-0.451,-1.41,0.575,0.407,-0.0437
"A0A9D4WSU6_PEA","A0A9D4WSU6",0.245399394225529,0.483071599885835,0.412472185754261,0.848,0.682,0.642,FALSE,FALSE,FALSE,FALSE,-2.53,-1.49,-1.56,1.93,-0.605,0.441,-1.12
"A0A9D4WSV1_PEA","A0A9D4WSV1",0.0374996273613801,0.308591315166499,0.344857849133896,0.565,0.514,0.582,FALSE,FALSE,FALSE,FALSE,2,0.878,-0.725,-0.827,1.18,0.0507,-0.675
"A0A9D4WSW7_PEA","A0A9D4WSW7",0.938794834563375,0.165605951355153,0.311449733993892,0.996,0.341,0.548,FALSE,FALSE,FALSE,FALSE,-0.172,-3.3,2.09,1.28,1.1,-2.02,0.0687
"A0A9D4WSX1_PEA","A0A9D4WSX1",0.162356291724033,0.0147866368936048,0.471275070788181,0.783,0.0571,0.689,FALSE,FALSE,FALSE,FALSE,1.5,3,-0.66,-1.86,-0.365,1.13,0.474
"A0A9D4WT34_PEA","A0A9D4WT34",0.706188067576425,0.0637193220851898,0.0242262978071336,0.996,0.172,0.0966,FALSE,FALSE,FALSE,FALSE,-0.288,-1.58,1.81,0.444,0.156,-1.13,0.681
"A0A9D4WT45_PEA","A0A9D4WT45",0.647503791435814,0.351475205308647,0.513771734557147,0.996,0.559,0.724,FALSE,FALSE,FALSE,FALSE,0.682,1.42,-0.877,-0.721,-0.039,0.699,-0.179
"A0A9D4WT48_PEA","A0A9D4W6C0",0.960073901384997,0.122976809082863,0.0242625731146086,0.996,0.277,0.0966,FALSE,FALSE,FALSE,FALSE,0.0128,-0.427,0.612,0.0626,0.0755,-0.364,0.247
