"Var1","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Axillary_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_2h_R1","Axillary_Buds_2h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3"
"A0A9D4WLL5_PEA",24.8459090244103,24.2213506887299,21.0821957964499,23.7100476939899,21.0821957964499,21.9615371558874,24.4229345815436,24.5910776959977,20.5348920102704,21.399931480993,22.0829367031772
"A0A9D4WLM4_PEA",18.3943460525212,17.9831161320131,18.3669382568125,17.5977976905454,18.3669382568125,17.9811217194139,17.5708091821534,18.1621894079036,19.280373465356,19.212214852599,19.4414564580657
"A0A9D4WLM8_PEA",17.8706767525024,17.6098333530002,18.698881403408,17.7962781995925,18.698911650324,18.369512215389,18.1394439486336,18.2865786533014,16.5708750427279,16.1896811075295,16.4802568743446
"A0A9D4WLT6_PEA",16.8199512038935,15.925576733649,18.7937211379984,18.362359212548,18.7937211379984,19.1547577162975,17.7007786857395,18.3416463052052,17.1527768122326,17.6884405000309,17.8043838001595
"A0A9D4WLU4_PEA",21.6539373302614,21.516952700061,21.7810677385944,21.7727933938015,21.7810677385944,21.6192377788625,21.6394965079328,21.6868364610103,22.5814618763756,22.3032854625014,22.1580731146255
"A0A9D4WM09_PEA",20.9956303644831,20.7911563412809,21.2664961607082,20.9725536475405,21.2664961607082,21.0551769151643,20.6400852680112,21.3177377851709,18.5274438454154,18.3257068350293,18.5995821678688
"A0A9D4WM31_PEA",20.8094021987168,21.264051326413,19.7892075534365,20.6639788845236,19.7892075534365,20.2718109099128,21.3196499646201,21.0833065926451,19.2061806322428,17.8252637130631,17.6966756876291
"A0A9D4WM32_PEA",20.9798108200344,20.8768055255084,20.6576711014277,21.3161005936444,20.6576711014277,20.7714428109504,21.4586646628741,21.2864720389326,20.6012654021514,20.0170321474367,20.2181198858296
"A0A9D4WMA3_PEA",18.2479429736131,18.8898415128234,17.4355051378336,17.9499893092876,17.4355051378336,18.2395993588182,18.0043111791206,17.4254810029295,19.3996262678531,19.5567956753127,19.3464889124413
"A0A9D4WMB3_PEA",21.843853473046,21.2933952504917,21.7629458771263,21.3358471006224,21.7629458771263,21.3796508990911,21.4305967592704,21.4534252540121,20.3575985545052,20.0851744129174,20.247141730922
"A0A9D4WMC7_PEA",19.6773834451511,19.8788402443697,18.8729783098729,19.5911576015909,18.8729783098729,18.8839772824639,19.3397913988887,19.4465541812454,18.2271360080383,18.2175563916163,18.0245608175673
"A0A9D4WMC9_PEA",19.3300068880071,19.8336573821512,20.7835330105897,19.7080287768116,20.7835330105897,20.787088161879,19.7757314239778,20.0881406289679,20.2835393396379,20.9256983390744,21.0694591669275
"A0A9D4WME7_PEA",22.6018293192102,22.1899939814598,20.5701920446547,22.4935938068104,20.5701920446547,20.5233272072792,22.7215790931882,22.8337601916603,20.7114382845143,20.3624493503641,20.4707723306444
"A0A9D4WMK4_PEA",20.5441356238763,20.3630433706786,21.3663093276492,20.2365996216763,21.3663093276492,21.171286286051,20.3585389196583,20.5274481525874,18.7490687060239,18.8394754133326,18.9037561946082
"A0A9D4WML1_PEA",19.7419504769525,20.0400244186463,20.5290803679531,20.3541207370808,20.5290803679531,20.4601585519707,20.2853570132663,19.8545112995177,21.0992647153669,21.2610913846158,21.1921043503807
"A0A9D4WML3_PEA",18.7009665355789,19.2940587282045,16.8242516291385,18.9900464952742,16.8242474934512,17.2938387923726,18.5263386679342,18.7261768329939,18.8256230018095,18.1942777844484,18.3581194343255
"A0A9D4WML5_PEA",19.0132971593435,18.5012610325323,18.8207389021769,18.7294719983813,18.8207389021769,19.0091696659602,18.4697130065885,18.7585496077597,20.1789062546148,20.9391075723219,20.4278198035421
"A0A9D4WMM2_PEA",18.2199129082433,18.0730331947516,18.3481438104108,18.0647711330181,18.3481432513714,18.4520618653165,17.9287325504356,17.9237289228744,17.4344667635557,17.5959750012573,17.796818283303
"A0A9D4WMP7_PEA",20.0976558074151,19.904435872039,18.3535667177455,19.9406947985681,18.3535667177455,18.8568892207659,19.8514930470861,19.9918029778079,19.5619151527879,19.0397467251,19.376846040953
"A0A9D4WMQ7_PEA",19.5975014738555,20.1626872162038,18.6853766029304,19.4826089261281,18.6853766029304,20.4778216172659,19.4954316719671,19.0747556681783,16.6276336804617,17.7795804148857,16.4556921987797
"A0A9D4WMQ9_PEA",18.714721879572,18.6986499857538,19.8124529500426,18.9469575677109,19.8124529500426,19.9461382517739,18.4062720738658,18.3442426427659,19.872986317828,20.9378660356872,20.9421864872046
"A0A9D4WMR8_PEA",21.7695589363523,21.5199602189403,21.5411286775305,21.7292971553242,21.5411286775305,21.3811415632542,21.727270041818,22.0031814821866,22.5615022989002,22.7500483789127,22.8504784801716
"A0A9D4WMS0_PEA",18.085385649569,18.5259274189891,17.1660206837429,18.0662270661642,17.1660206837429,17.8420454926832,18.3499939923819,18.1412835057685,18.7952715439683,19.0626238665221,19.3632358672653
"A0A9D4WMS2_PEA",21.0900774256707,21.3526073593397,21.2500761727637,21.0004777140513,21.2500761727637,21.3088582483036,21.0904937989617,21.4196860436416,19.8458644547411,20.1722070768791,20.1542586648058
"A0A9D4WMV6_PEA",18.7185306807611,18.3473709288258,18.6444911753238,18.0352997835181,18.6444911753238,18.2386459329414,18.2638722527298,17.9964876926014,19.6117999723141,19.9426893665391,20.2211256164833
"A0A9D4WN80_PEA",18.9148800643277,18.764327043217,17.9379003243716,18.6480380866351,17.9378880177435,18.0709449668037,18.8712352201675,18.7442033539464,17.3633334861341,16.9832843783912,17.0128841454961
"A0A9D4WN83_PEA",19.6896510518917,19.7122135503528,20.8175608647151,19.7103776752284,20.8175608647151,20.716019252591,19.5421784166094,20.1165337101387,20.5547080697046,20.8108288268874,20.6571247209436
"A0A9D4WN97_PEA.1",19.2588748662308,19.8255227366486,21.0149427516911,20.3929590680907,21.6914179499592,20.6876380782108,19.7233950940012,19.481984164604,21.0550676943767,21.3069914477885,20.8775016708869
"A0A9D4WNE2_PEA",17.5185426565629,18.1937802486569,18.6145903407526,18.0972612037771,18.6145903407526,18.5390945745844,18.0464445899843,17.5288386360695,19.5090469835145,19.5469843007751,19.6424630681113
"A0A9D4WNG9_PEA",18.8473079226518,20.8593499172402,18.444443119794,19.0334976252277,18.444443119794,18.8006925763304,19.0022948946193,19.1062295615782,18.1406028635256,18.1435880474334,18.1317073491825
"A0A9D4WNI5_PEA",18.9467230189719,19.2742823683673,19.4507324312203,19.2610619596143,19.4507324312203,18.9073930508611,18.9845297731671,18.9371810467988,20.6073940021871,20.6966612807429,20.7947078397717
