"name","ID","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio"
"A0A9D4X4L0_PEA","A0A9D4X4L0",1.03997736014961e-06,0.000143,TRUE,2.16
"A0A9D4X4P7_PEA","A0A9D4X4P7",1.67898009421375e-05,0.000785,TRUE,-1.52
"A0A9D4X4R1_PEA","A0A9D4X4R1",3.8869881253086e-06,0.000322,TRUE,-1.94
"A0A9D4X4R9_PEA","A0A9D4X4R9",0.0011513872554996,0.0109,TRUE,-1.06
"A0A9D4X4S2_PEA","A0A9D4X4S2",0.00439961710014863,0.0281,TRUE,-0.815
"A0A9D4X4U4_PEA","A0A9D4X4U4",0.00854741872691751,0.0446,TRUE,-0.599
"A0A9D4X4V6_PEA","A0A9D4X4V6",9.81303346211645e-07,0.000138,TRUE,2.44
"A0A9D4X4Z6_PEA","A0A9D4VPH8",0.000399297124668317,0.00544,TRUE,-1.07
"A0A9D4X537_PEA","A0A9D4X537",0.00280067855904041,0.0202,TRUE,-0.976
"A0A9D4X547_PEA","A0A9D4X547",0.00906248690570896,0.0464,TRUE,-0.734
"A0A9D4X561_PEA","A0A9D4X561",0.00111817442020179,0.0106,TRUE,-0.903
"A0A9D4X564_PEA","A0A9D4X564",2.44731542656265e-07,7.69e-05,TRUE,-2.39
"A0A9D4X5A9_PEA","A0A9D4X5A9",0.00092058221745473,0.0093,TRUE,-1.17
"A0A9D4X5C4_PEA","A0A9D4X5C4",0.000406775419714924,0.0055,TRUE,-2.9
"A0A9D4X5E8_PEA","A0A9D4X5E8",0.00422888692561935,0.0273,TRUE,1.34
"A0A9D4X5P5_PEA","A0A9D4X3K6",0.00384858376931232,0.0255,TRUE,-0.925
"A0A9D4X5T2_PEA","A0A9D4X5T2",0.000398660276936266,0.00544,TRUE,-1.25
"A0A9D4X5V0_PEA","A0A9D4VM91",7.12766911572963e-05,0.00194,TRUE,-1.37
"A0A9D4X606_PEA","A0A9D4X606",0.00128722431315441,0.0117,TRUE,1.68
"A0A9D4X613_PEA","A0A9D4X613",0.00034547488231196,0.00497,TRUE,-2.44
"A0A9D4X658_PEA","A0A9D4X658",0.00376639671257095,0.0251,TRUE,0.932
"A0A9D4X670_PEA","A0A9D4X670",0.000417849852171389,0.00557,TRUE,-3.46
"A0A9D4X6D3_PEA","A0A9D4X6D3",8.88614604414078e-05,0.00223,TRUE,1.31
"A0A9D4X6F2_PEA","A0A9D4X6F2",0.000112898564702085,0.00256,TRUE,-1.01
"A0A9D4X6G2_PEA","A0A9D4X6G2",0.00470676074549062,0.0293,TRUE,-0.615
"A0A9D4X6H8_PEA","A0A9D4X6H8",1.90989866747165e-05,0.000834,TRUE,2.76
"A0A9D4X6P3_PEA","A0A9D4X6P3",5.11635251037268e-06,0.000395,TRUE,2.21
"A0A9D4X6Q5_PEA","A0A9D4X6Q5",5.44667292546961e-05,0.00165,TRUE,1.68
"A0A9D4X6Y8_PEA","A0A9D4X6Y8",0.000112173161210666,0.00256,TRUE,-1.5
"A0A9D4X6Z4_PEA","A0A9D4X6Z4",0.000150658468134925,0.003,TRUE,1.8
"A0A9D4X711_PEA","A0A9D4X711",0.000393257074566978,0.00541,TRUE,-0.779
"A0A9D4X730_PEA","A0A9D4X730",0.000125452160480897,0.00272,TRUE,-1.7
"A0A9D4X742_PEA","A0A9D4X742",0.000890037774378776,0.00913,TRUE,1.49
"A0A9D4X755_PEA","A0A9D4X755",0.00512105984647457,0.0313,TRUE,2.29
"A0A9D4X7B4_PEA","A0A9D4X7B4",3.63134129790379e-06,0.000318,TRUE,-2.78
"A0A9D4X7C6_PEA","A0A9D4X7C6",0.00339797595151679,0.0232,TRUE,-0.789
