"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D5BBX0_PEA","A0A9D5BBX0",0.744863632033369,0.205978834247879,0.910172513973895,0.996,0.395,0.957,FALSE,FALSE,FALSE,FALSE,-0.311,-1.27,0.0962,0.751,0.44,-0.518,-0.422
"A0A9D5BBZ2_PEA","A0A9D5BBZ2",0.943152425644615,0.213664037673242,0.59965995751881,0.996,0.405,0.782,FALSE,FALSE,FALSE,FALSE,-0.105,-1.93,0.7,0.891,0.786,-1.04,-0.34
"A0A9D5BBZ2_PEA.1","A0A9D5BBZ2",0.261528825231081,0.392829108675422,0.890168046499075,0.857,0.597,0.95,FALSE,FALSE,FALSE,FALSE,-1.45,-1.08,-0.153,1.03,-0.421,-0.0558,-0.209
"A0A9D5BBZ5_PEA","P52902",0.521434920260319,0.560003942036073,0.139713827484333,0.967,0.745,0.329,FALSE,FALSE,FALSE,FALSE,-0.143,-0.13,0.313,0.0247,-0.119,-0.105,0.207
"A0A9D5BC28_PEA","A0A9D5BC28",0.73213831885567,0.598591250335722,0.382531235755637,0.996,0.774,0.615,FALSE,FALSE,FALSE,FALSE,0.0778,0.12,0.181,-0.136,-0.0584,-0.016,0.165
"A0A9D5BC29_PEA.1","A0A9D5BC29",0.983379712618301,0.966160679597258,0.262221265197127,0.997,0.985,0.497,FALSE,FALSE,FALSE,FALSE,-0.0231,0.0471,1.16,-0.335,-0.358,-0.288,0.87
"A0A9D5BC48_PEA","A0A9D5BC48",0.308102406487196,0.0995719430884639,0.829544776613624,0.89,0.239,0.92,FALSE,FALSE,FALSE,FALSE,0.454,-0.775,-0.0831,0.322,0.776,-0.454,-0.537
"A0A9D5BC48_PEA.1","A0A9D5B6V1",0.863074194610731,0.69559854165816,0.445731292872999,0.996,0.838,0.67,FALSE,FALSE,FALSE,FALSE,0.329,-0.749,-1.32,0.68,1.01,-0.0691,-1.39
"A0A9D5BC61_PEA","A0A9D5BC61",0.964878530127156,0.23417090253146,0.909957002654631,0.996,0.43,0.957,FALSE,FALSE,FALSE,FALSE,-0.0396,-1.12,-0.0909,0.646,0.606,-0.473,-0.564
"A0A9D5BC66_PEA","A0A9D5BC66",0.860200233350942,0.127212384467576,0.197958940296776,0.996,0.284,0.416,FALSE,FALSE,FALSE,FALSE,-0.0427,0.398,-0.294,-0.125,-0.168,0.273,-0.0212
"A0A9D5BC68_PEA","A0A9D5BC68",0.243397363210468,0.711030467206507,0.480752632078298,0.847,0.846,0.698,FALSE,FALSE,FALSE,FALSE,1.92,0.586,-1.01,-0.568,1.35,0.0181,-0.991
"A0A9D5BC87_PEA","A0A9D5BC87",0.643020198783375,0.653738644037376,0.523438429068485,0.996,0.813,0.731,FALSE,FALSE,FALSE,FALSE,-0.661,-0.64,-0.819,0.753,0.0914,0.113,-0.706
"A0A9D5BCB2_PEA","A0A9D5BCB2",0.820424658895418,0.155057538404643,0.0255787247422975,0.996,0.326,0.1,FALSE,FALSE,FALSE,FALSE,-0.0497,-0.332,0.516,0.0541,0.00432,-0.278,0.238
"A0A9D5BCB3_PEA","A0A9D5BCB3",0.0138368220417476,0.0630378424996945,0.0790933936121003,0.437,0.171,0.225,FALSE,FALSE,FALSE,FALSE,3.02,2.08,1.74,-2.43,0.585,-0.35,1.39
"A0A9D5BCB6_PEA","A0A9D5BCB6",0.693605594562387,0.951371014727609,0.855953862295597,0.996,0.977,0.932,FALSE,FALSE,FALSE,FALSE,-0.716,-0.11,-0.294,0.336,-0.38,0.225,-0.0686
"A0A9D5BCC6_PEA","A0A9D5BCC6",0.681847375582756,0.0164826935655932,0.129346528128514,0.996,0.0621,0.313,FALSE,FALSE,FALSE,FALSE,0.102,0.717,-0.36,-0.321,-0.219,0.396,0.0361
"A0A9D5BCE7_PEA","A0A9D5BCE7",0.97939032452441,0.54104518287682,0.933752718924283,0.996,0.731,0.97,FALSE,FALSE,FALSE,FALSE,-0.0422,1.01,0.121,-0.572,-0.615,0.437,0.559
"A0A9D5BCF5_PEA","A0A9D5BCF5",0.150773638526112,0.190666680778831,0.963199387573277,0.776,0.375,0.983,FALSE,FALSE,FALSE,FALSE,-2.53,-2.28,0.0681,1.92,-0.617,-0.364,-0.296
