"name","ID","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio"
"A0A9D4X2F8_PEA","A0A9D4X2F8",0.00525362208160266,0.0255,TRUE,1.21
"A0A9D4X2J8_PEA","A0A9D4X2J8",5.44421688115306e-05,0.000927,TRUE,1.47
"A0A9D4X2L8_PEA","A0A9D4X2L8",0.00255148493127855,0.0145,TRUE,1.52
"A0A9D4X2Z9_PEA","A0A9D4X2Z9",0.00253693355959096,0.0145,TRUE,3.24
"A0A9D4X315_PEA","A0A9D4X315",0.010891975707179,0.0448,TRUE,0.802
"A0A9D4X341_PEA","A0A9D4X341",9.81421742077319e-05,0.00135,TRUE,1.93
"A0A9D4X372_PEA","A0A9D4X372",0.000268428247956705,0.0027,TRUE,1.43
"A0A9D4X397_PEA","A0A9D4X112",1.88728126664561e-05,0.000486,TRUE,-2.03
"A0A9D4X3A9_PEA","A0A9D4X3A9",0.00501050535750319,0.0245,TRUE,1.13
"A0A9D4X3B1_PEA","A0A9D4X3B1",0.00583715517997207,0.0278,TRUE,-1.52
"A0A9D4X3D1_PEA","A0A9D4X3D1",1.96567343467078e-06,0.000132,TRUE,2.06
"A0A9D4X3G2_PEA","A0A9D4X3G2",0.00206230212956006,0.0122,TRUE,-2.92
"A0A9D4X3G5_PEA","A0A9D4X3G5",1.75081305808277e-05,0.000461,TRUE,-2.42
"A0A9D4X3K2_PEA","A0A9D4X3K2",0.0110055786607917,0.0451,TRUE,-2.34
"A0A9D4X3L3_PEA","A0A9D4X3L3",0.000231799003357124,0.00241,TRUE,2.02
"A0A9D4X3M3_PEA","A0A9D4X3I6",0.00365492510862513,0.0192,TRUE,-0.766
"A0A9D4X3Q1_PEA","A0A9D4X3Q1",1.94231557592834e-07,5.17e-05,TRUE,-2.72
"A0A9D4X3U2_PEA","A0A9D4X3U2",0.00107046827346934,0.00739,TRUE,-1.43
"A0A9D4X3V3_PEA","A0A9D4X3V3",7.08358051305228e-05,0.00108,TRUE,-1.47
"A0A9D4X3V5_PEA","A0A9D4VVN5",0.00451183566071991,0.0226,TRUE,0.958
"A0A9D4X3Y5_PEA","A0A9D4X3Y5",2.56718562915561e-05,0.000578,TRUE,1.39
"A0A9D4X406_PEA","A0A9D4X406",3.75308815491102e-06,0.00019,TRUE,1.93
"A0A9D4X418_PEA","A0A9D4X418",2.1756422927297e-05,0.000531,TRUE,1.52
"A0A9D4X470_PEA","A0A9D4X470",0.000170672995504275,0.002,TRUE,-1.16
"A0A9D4X4B5_PEA","A0A9D4X4B5",0.00415734392509064,0.0213,TRUE,-3.54
"A0A9D4X4C1_PEA","A0A9D4X4C1",0.000744083877965765,0.00565,TRUE,-1.18
"A0A9D4X4F0_PEA","A0A9D4X4F0",0.000269555266588994,0.0027,TRUE,-1.47
"A0A9D4X4H8_PEA","A0A9D4VM81",0.00189654041890358,0.0115,TRUE,0.8
"A0A9D4X4K3_PEA","A0A9D4X4K3",0.00043231444698457,0.00377,TRUE,1.37
"A0A9D4X4L0_PEA","A0A9D4X4L0",5.48724011365191e-07,7.58e-05,TRUE,-2.62
"A0A9D4X4P7_PEA","A0A9D4X4P7",1.3544319614233e-05,0.000405,TRUE,1.75
"A0A9D4X4R1_PEA","A0A9D4X4R1",1.20192990823588e-05,0.000383,TRUE,1.87
"A0A9D4X4R9_PEA","A0A9D4X4R9",0.00232146479859258,0.0135,TRUE,-1.06
"A0A9D4X4U4_PEA","A0A9D4X4U4",0.00284515623851809,0.0157,TRUE,0.818
"A0A9D4X4V6_PEA","A0A9D4X4V6",1.18354111230668e-05,0.000382,TRUE,-1.98
"A0A9D4X4Z6_PEA","A0A9D4VPH8",5.96586999827333e-05,0.000986,TRUE,1.56
"A0A9D4X517_PEA","A0A9D4X517",0.00328478727229447,0.0176,TRUE,-0.68
"A0A9D4X537_PEA","A0A9D4X537",5.33981966917651e-05,0.00092,TRUE,1.97
"A0A9D4X547_PEA","A0A9D4X547",0.00106846937193713,0.00739,TRUE,1.19
"A0A9D4X561_PEA","A0A9D4X561",0.0106039150378509,0.0439,TRUE,-0.68
"A0A9D4X564_PEA","A0A9D4X564",1.417382845047e-06,0.00011,TRUE,2.15
"A0A9D4X596_PEA","A0A9D4X596",0.0121958687224952,0.0492,TRUE,0.627
"A0A9D4X5E8_PEA","A0A9D4X5E8",0.000247919605748119,0.00254,TRUE,-2.34
"A0A9D4X5I9_PEA","A0A9D4X5I9",0.00188677053665896,0.0115,TRUE,-2.44
"A0A9D4X5K6_PEA","A0A9D4X5K6",0.00284610925332554,0.0157,TRUE,0.929
"A0A9D4X5T2_PEA","A0A9D4X5T2",0.000124027151962728,0.00159,TRUE,1.66
"A0A9D4X5V0_PEA","A0A9D4VM91",0.000170956257804957,0.002,TRUE,1.35
"A0A9D4X5Y5_PEA","A0A9D4X5Y5",0.00332992928166124,0.0178,TRUE,0.76
"A0A9D4X5Y8_PEA","A0A9D4X5Y8",4.57613582375855e-05,0.000833,TRUE,2.73
"A0A9D4X613_PEA","A0A9D4X613",0.00443066439088472,0.0223,TRUE,1.81
"A0A9D4X622_PEA","A0A9D4X622",9.17492613040585e-05,0.00129,TRUE,1.16
"A0A9D4X658_PEA","A0A9D4X658",1.37743353927055e-05,0.000408,TRUE,-2.38
"A0A9D4X696_PEA","A0A9D4X696",0.000214952997940337,0.00229,TRUE,1.54
"A0A9D4X6B7_PEA","A0A9D4X6B7",0.000907566138043537,0.00653,TRUE,-2.05
"A0A9D4X6F2_PEA","A0A9D4X6F2",0.000671977431835041,0.00521,TRUE,0.873
